127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/js/jquery.js, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.092000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/js/web2py.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.055000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2016-02-17 00:42:53, GET, /admin/static/_2.10.3/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-02-17 00:43:02, POST, /admin, HTTP/1.1, 303, 0.060000
127.0.0.1, 2016-02-17 00:43:02, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-42-13.838414a6-2e29-4057-9afd-1302ac82eddd, HTTP/1.1, 200, 0.215000
127.0.0.1, 2016-02-17 00:43:02, GET, /admin/static/_2.10.3/images/help.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-02-17 00:43:16, GET, /, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-02-17 00:43:18, GET, /user/login, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-02-17 00:43:26, POST, /user/login, HTTP/1.1, 303, 0.053000
127.0.0.1, 2016-02-17 00:43:26, GET, /user/login, HTTP/1.1, 200, 0.051000
127.0.0.1, 2016-02-17 00:43:28, POST, /user/login, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-17 00:43:52, GET, /, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-02-17 00:43:54, GET, /user/login, HTTP/1.1, 200, 0.055000
127.0.0.1, 2016-02-17 00:44:02, POST, /user/login, HTTP/1.1, 303, 0.057000
127.0.0.1, 2016-02-17 00:44:02, GET, /user/login, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-02-17 00:44:15, GET, /populate_db, HTTP/1.1, 500, 0.136000
127.0.0.1, 2016-02-17 00:44:15, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-02-17 00:44:28, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-44-15.5924e9cc-4f13-4fda-a85e-96df4930df20, HTTP/1.1, 303, 0.016000
127.0.0.1, 2016-02-17 00:44:28, GET, /admin, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-02-17 00:44:31, POST, /admin, HTTP/1.1, 303, 0.051000
127.0.0.1, 2016-02-17 00:44:31, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-44-15.5924e9cc-4f13-4fda-a85e-96df4930df20, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-17 00:50:04, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-44-15.5924e9cc-4f13-4fda-a85e-96df4930df20, HTTP/1.1, 200, 0.103000
127.0.0.1, 2016-02-17 00:50:12, GET, /populate_db, HTTP/1.1, 500, 0.115000
127.0.0.1, 2016-02-17 00:51:53, GET, /, HTTP/1.1, 200, 1.300000
127.0.0.1, 2016-02-17 00:52:00, GET, /user/login, HTTP/1.1, 200, 0.079000
127.0.0.1, 2016-02-17 00:52:07, POST, /user/login, HTTP/1.1, 303, 0.108000
127.0.0.1, 2016-02-17 00:52:07, GET, /user/login, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-02-17 00:52:15, GET, /populate_db, HTTP/1.1, 500, 0.428000
127.0.0.1, 2016-02-17 00:52:30, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-52-14.bde73a80-49e1-48df-8539-87db787d89a2, HTTP/1.1, 200, 0.551000
127.0.0.1, 2016-02-17 00:52:52, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-17.00-44-15.5924e9cc-4f13-4fda-a85e-96df4930df20, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-02-17 15:28:16, GET, /, HTTP/1.1, 200, 5.919000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.032000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.140000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.176000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.064000
127.0.0.1, 2016-02-17 15:28:16, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.076000
